#
#
# US Geological Survey, Water Resources Data
# retrieved: 2017-09-09 15:34:06 EDT      (nadww01)
#
# This file contains USGS Surface-Water Monthly Statistics
#
# Note:The statistics generated from  this site are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit https://nwis.waterdata.usgs.gov/nwis/?dv_statistics_disclaimer.
#
# ** No Incomplete data have been used for statistical calculation
#
# This file includes the following columns:
#
#
# agency_cd    agency code
# site_no USGS site number
# parameter_cd
# ts_id
# year_nu Calendar year for value
# month_nu     Month for value
# mean_va monthly-mean value.
#         if there is not complete record
#         for a month this field is blank
#
#
# Sites in this file include:
# USGS 04174500 HURON RIVER AT ANN ARBOR, MI
# 
# Explanation of Parameter Code and ts_id used in the Statistics Data 
# parameter_cd	Parameter Name					ts_id	Location Name
# 00060		Discharge, cubic feet per second		71299	
#
#
agency_cd	site_no	parameter_cd	ts_id	year_nu	month_nu	mean_va
USGS	04174500	00060	71299	2005	11	338.9
USGS	04174500	00060	71299	2005	12	357.0
USGS	04174500	00060	71299	2006	1	741.4
USGS	04174500	00060	71299	2006	2	871.6
USGS	04174500	00060	71299	2006	3	913.9
USGS	04174500	00060	71299	2006	4	757.0
USGS	04174500	00060	71299	2006	5	986.5
USGS	04174500	00060	71299	2006	6	383.4
USGS	04174500	00060	71299	2006	7	231.0
USGS	04174500	00060	71299	2006	8	156.4
USGS	04174500	00060	71299	2006	9	294.4
USGS	04174500	00060	71299	2006	10	431.0
USGS	04174500	00060	71299	2006	11	619.3
USGS	04174500	00060	71299	2006	12	961.3
USGS	04174500	00060	71299	2007	1	1324
USGS	04174500	00060	71299	2007	2	421.7
USGS	04174500	00060	71299	2007	3	1152
USGS	04174500	00060	71299	2007	4	744.3
USGS	04174500	00060	71299	2007	5	606.5
USGS	04174500	00060	71299	2007	6	512.5
USGS	04174500	00060	71299	2007	7	113.5
USGS	04174500	00060	71299	2007	8	315.5
USGS	04174500	00060	71299	2007	9	339.8
USGS	04174500	00060	71299	2007	10	250.7
USGS	04174500	00060	71299	2007	11	370.8
USGS	04174500	00060	71299	2007	12	626.0
USGS	04174500	00060	71299	2008	1	1197
USGS	04174500	00060	71299	2008	2	1095
USGS	04174500	00060	71299	2008	3	1158
USGS	04174500	00060	71299	2008	4	990.2
USGS	04174500	00060	71299	2008	5	394.9
USGS	04174500	00060	71299	2008	6	511.3
USGS	04174500	00060	71299	2008	7	430.1
USGS	04174500	00060	71299	2008	8	131.6
USGS	04174500	00060	71299	2008	9	659.1
USGS	04174500	00060	71299	2008	10	360.3
USGS	04174500	00060	71299	2008	11	526.9
USGS	04174500	00060	71299	2008	12	737.5
USGS	04174500	00060	71299	2009	1	806.3
USGS	04174500	00060	71299	2009	2	1094
USGS	04174500	00060	71299	2009	3	1598
USGS	04174500	00060	71299	2009	4	1402
USGS	04174500	00060	71299	2009	5	1321
USGS	04174500	00060	71299	2009	6	989.6
USGS	04174500	00060	71299	2009	7	403.5
USGS	04174500	00060	71299	2009	8	291.1
USGS	04174500	00060	71299	2009	9	266.8
USGS	04174500	00060	71299	2009	10	406.0
USGS	04174500	00060	71299	2009	11	509.1
USGS	04174500	00060	71299	2009	12	530.3
USGS	04174500	00060	71299	2010	1	477.2
USGS	04174500	00060	71299	2010	2	380.4
USGS	04174500	00060	71299	2010	3	896.7
USGS	04174500	00060	71299	2010	4	470.1
USGS	04174500	00060	71299	2010	5	1100
USGS	04174500	00060	71299	2010	6	1043
USGS	04174500	00060	71299	2010	7	432.9
USGS	04174500	00060	71299	2010	8	286.7
USGS	04174500	00060	71299	2010	9	146.5
USGS	04174500	00060	71299	2010	10	152.6
USGS	04174500	00060	71299	2010	11	318.3
USGS	04174500	00060	71299	2010	12	318.5
USGS	04174500	00060	71299	2011	1	278.2
USGS	04174500	00060	71299	2011	2	361.7
USGS	04174500	00060	71299	2011	3	1246
USGS	04174500	00060	71299	2011	4	1141
USGS	04174500	00060	71299	2011	5	1829
USGS	04174500	00060	71299	2011	6	890.6
USGS	04174500	00060	71299	2011	7	357.0
USGS	04174500	00060	71299	2011	8	691.9
USGS	04174500	00060	71299	2011	9	471.1
USGS	04174500	00060	71299	2011	10	565.7
USGS	04174500	00060	71299	2011	11	800.5
